Date, Close/Last, Volume, Open, High, Low
09/11/2019, $275.68, 542228, $273.17, $277.71, $270.43
09/10/2019, $272.72, 733696, $278.17, $279.98, $269.9
09/09/2019, $280.34, 584032, $279, $282.15, $278.34
09/06/2019, $278.81, 1238159, $272, $282.2262, $271.63
09/05/2019, $271.06, 672034, $270.9, $273.5, $268.52
09/04/2019, $268.38, 1075941, $262.33, $274.5497, $262.16
09/03/2019, $258.43, 811432, $253.88, $259.67, $250.3749
08/30/2019, $255, 869016, $254.85, $255.79, $252.01
08/29/2019, $253.68, 596687, $253.78, $256, $251.46
08/28/2019, $250.49, 524502, $255, $256, $249.66
08/27/2019, $256.54, 845198, $251.69, $257.26, $251.29
08/26/2019, $248.93, 913828, $249.71, $250.39, $245.81
08/23/2019, $247.23, 590396, $245.8, $248.71, $243.895
08/22/2019, $247.11, 539026, $253.51, $253.51, $246.67
08/21/2019, $253.36, 544956, $252.45, $256.58, $251.04
08/20/2019, $249.11, 775505, $253.48, $257.55, $248.91
08/19/2019, $262.25, 576828, $262.11, $262.88, $257.35
08/16/2019, $258.48, 787323, $257.62, $259.585, $252.1138
08/15/2019, $254.72, 1006329, $262.23, $262.23, $250.17
08/14/2019, $262.13, 1576562, $253, $264.735, $252.81
08/13/2019, $260.85, 1898224, $235.51, $261.8, $235.38
08/12/2019, $235.14, 777010, $236.87, $238.99, $235.01
08/09/2019, $242.9, 1305311, $235.65, $246.11, $235.335
08/08/2019, $238.02, 2038644, $230, $244.97, $227.1473
08/07/2019, $215.87, 773601, $211, $217.3604, $209.4687
08/06/2019, $212.67, 919086, $216.37, $217.61, $212.165
08/05/2019, $211.88, 1010126, $212.71, $215.22, $209.01
08/02/2019, $219.7, 916458, $221.73, $224.74, $215.31
08/01/2019, $224.94, 703652, $232.49, $235.96, $222.021
07/31/2019, $230.82, 548591, $232.64, $234.18, $226.06
07/30/2019, $232.78, 585551, $230.5, $236.38, $228
07/29/2019, $230.82, 913213, $238.36, $238.765, $230.36
07/26/2019, $238.96, 504028, $243.04, $243.25, $237.88
07/25/2019, $240.08, 528951, $245.48, $245.48, $235.31
07/24/2019, $245.16, 343454, $245.24, $247.57, $244.04
07/23/2019, $245.06, 374995, $243.1, $246.94, $243.1
07/22/2019, $242.96, 407562, $246.01, $246.18, $241.8
07/19/2019, $243.78, 642357, $250.79, $252.5, $243.43
07/18/2019, $247.99, 657847, $251.86, $251.91, $247.76
07/17/2019, $252.47, 416859, $257.07, $257.2376, $250.54
07/16/2019, $259.38, 307687, $257.22, $260.74, $256.42
07/15/2019, $256.24, 406321, $261.17, $262.2435, $256.08
07/12/2019, $259.87, 361873, $264.79, $267.1, $259.34
07/11/2019, $263.39, 317092, $263.9, $264, $260.01
07/10/2019, $262.62, 377106, $261.39, $264.6, $259.14
07/09/2019, $257.55, 299956, $254.49, $258.53, $254.08
07/08/2019, $257.79, 380630, $260.31, $260.89, $256.8
07/05/2019, $261.5, 358487, $263.02, $266.225, $258.62
07/03/2019, $265.57, 372558, $262.89, $265.74, $260.41
07/02/2019, $261.69, 453428, $263.39, $266.5, $260.51
07/01/2019, $262.71, 505179, $263.76, $265.28, $261.36
06/28/2019, $255.77, 389883, $262.64, $263, $254.5
06/27/2019, $261.35, 337574, $258.49, $261.94, $256.95
